   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
2741: T8_CAPEITEM_MORGANA@4                                            : Elder's Morgana Cape
2742: T4_CAPEITEM_DEMON                                                : Adept's Demon Cape
2743: T4_CAPEITEM_DEMON@1                                              : Adept's Demon Cape
2744: T4_CAPEITEM_DEMON@2                                              : Adept's Demon Cape
2745: T4_CAPEITEM_DEMON@3                                              : Adept's Demon Cape
2746: T4_CAPEITEM_DEMON@4                                              : Adept's Demon Cape
2747: T5_CAPEITEM_DEMON                                                : Expert's Demon Cape
2748: T5_CAPEITEM_DEMON@1                                              : Expert's Demon Cape
2749: T5_CAPEITEM_DEMON@2                                              : Expert's Demon Cape
2750: T5_CAPEITEM_DEMON@3                                              : Expert's Demon Cape
2751: T5_CAPEITEM_DEMON@4                                              : Expert's Demon Cape
2752: T6_CAPEITEM_DEMON                                                : Master's Demon Cape
2753: T6_CAPEITEM_DEMON@1                                              : Master's Demon Cape
2754: T6_CAPEITEM_DEMON@2                                              : Master's Demon Cape
2755: T6_CAPEITEM_DEMON@3                                              : Master's Demon Cape
2756: T6_CAPEITEM_DEMON@4                                              : Master's Demon Cape
2757: T7_CAPEITEM_DEMON                                                : Grandmaster's Demon Cape
2758: T7_CAPEITEM_DEMON@1                                              : Grandmaster's Demon Cape
2759: T7_CAPEITEM_DEMON@2                                              : Grandmaster's Demon Cape
2760: T7_CAPEITEM_DEMON@3                                              : Grandmaster's Demon Cape
2761: T7_CAPEITEM_DEMON@4                                              : Grandmaster's Demon Cape
2762: T8_CAPEITEM_DEMON                                                : Elder's Demon Cape
2763: T8_CAPEITEM_DEMON@1                                              : Elder's Demon Cape
2764: T8_CAPEITEM_DEMON@2                                              : Elder's Demon Cape
2765: T8_CAPEITEM_DEMON@3                                              : Elder's Demon Cape
2766: T8_CAPEITEM_DEMON@4                                              : Elder's Demon Cape
2767: UNIQUE_LOOTCHEST_FIRSTREFERRAL                                   : Recruiter's Pile of Tomes
2768: UNIQUE_LOOTCHEST_SKILLBOOKS_TELLAFRIEND                          : Pile of Tomes
2769: T2_BAG                                                           : Novice's Bag
2770: T3_BAG                                                           : Journeyman's Bag
2771: T4_BAG                                                           : Adept's Bag
2772: T4_BAG@1                                                         : Adept's Bag
2773: T4_BAG@2                                                         : Adept's Bag
2774: T4_BAG@3                                                         : Adept's Bag
2775: T4_BAG@4                                                         : Adept's Bag
2776: T5_BAG                                                           : Expert's Bag
2777: T5_BAG@1                                                         : Expert's Bag
2778: T5_BAG@2                                                         : Expert's Bag
2779: T5_BAG@3                                                         : Expert's Bag
2780: T5_BAG@4                                                         : Expert's Bag
2781: T6_BAG                                                           : Master's Bag
2782: T6_BAG@1                                                         : Master's Bag
2783: T6_BAG@2                                                         : Master's Bag
2784: T6_BAG@3                                                         : Master's Bag
2785: T6_BAG@4                                                         : Master's Bag
2786: T7_BAG                                                           : Grandmaster's Bag
2787: T7_BAG@1                                                         : Grandmaster's Bag
2788: T7_BAG@2                                                         : Grandmaster's Bag
2789: T7_BAG@3                                                         : Grandmaster's Bag
2790: T7_BAG@4                                                         : Grandmaster's Bag
2791: T8_BAG                                                           : Elder's Bag
2792: T8_BAG@1                                                         : Elder's Bag
2793: T8_BAG@2                                                         : Elder's Bag
2794: T8_BAG@3                                                         : Elder's Bag
2795: T8_BAG@4                                                         : Elder's Bag
2796: T4_BAG_INSIGHT                                                   : Adept's Satchel of Insight
2797: T4_BAG_INSIGHT@1                                                 : Adept's Satchel of Insight
2798: T4_BAG_INSIGHT@2                                                 : Adept's Satchel of Insight
2799: T4_BAG_INSIGHT@3                                                 : Adept's Satchel of Insight
2800: T4_BAG_INSIGHT@4                                                 : Adept's Satchel of Insight
2801: T5_BAG_INSIGHT                                                   : Expert's Satchel of Insight
2802: T5_BAG_INSIGHT@1                                                 : Expert's Satchel of Insight
2803: T5_BAG_INSIGHT@2                                                 : Expert's Satchel of Insight
2804: T5_BAG_INSIGHT@3                                                 : Expert's Satchel of Insight
2805: T5_BAG_INSIGHT@4                                                 : Expert's Satchel of Insight
2806: T6_BAG_INSIGHT                                                   : Master's Satchel of Insight
2807: T6_BAG_INSIGHT@1                                                 : Master's Satchel of Insight
2808: T6_BAG_INSIGHT@2                                                 : Master's Satchel of Insight
2809: T6_BAG_INSIGHT@3                                                 : Master's Satchel of Insight
2810: T6_BAG_INSIGHT@4                                                 : Master's Satchel of Insight
2811: T7_BAG_INSIGHT                                                   : Grandmaster's Satchel of Insight
2812: T7_BAG_INSIGHT@1                                                 : Grandmaster's Satchel of Insight
2813: T7_BAG_INSIGHT@2                                                 : Grandmaster's Satchel of Insight
2814: T7_BAG_INSIGHT@3                                                 : Grandmaster's Satchel of Insight
2815: T7_BAG_INSIGHT@4                                                 : Grandmaster's Satchel of Insight
2816: T8_BAG_INSIGHT                                                   : Elder's Satchel of Insight
2817: T8_BAG_INSIGHT@1                                                 : Elder's Satchel of Insight
2818: T8_BAG_INSIGHT@2                                                 : Elder's Satchel of Insight
2819: T8_BAG_INSIGHT@3                                                 : Elder's Satchel of Insight
2820: T8_BAG_INSIGHT@4                                                 : Elder's Satchel of Insight
2821: T1_2H_TOOL_PICK                                                  : Beginner's Pickaxe
2822: T2_2H_TOOL_PICK                                                  : Novice's Pickaxe
2823: T3_2H_TOOL_PICK                                                  : Journeyman's Pickaxe
2824: T4_2H_TOOL_PICK                                                  : Adept's Pickaxe
2825: T5_2H_TOOL_PICK                                                  : Expert's Pickaxe
2826: T6_2H_TOOL_PICK                                                  : Master's Pickaxe
2827: T7_2H_TOOL_PICK                                                  : Grandmaster's Pickaxe
2828: T8_2H_TOOL_PICK                                                  : Elder's Pickaxe
2829: T4_2H_TOOL_PICK_AVALON                                           : Adept's Avalonian Pickaxe
2830: T5_2H_TOOL_PICK_AVALON                                           : Expert's Avalonian Pickaxe
2831: T6_2H_TOOL_PICK_AVALON                                           : Master's Avalonian Pickaxe
2832: T7_2H_TOOL_PICK_AVALON                                           : Grandmaster's Avalonian Pickaxe
2833: T8_2H_TOOL_PICK_AVALON                                           : Elder's Avalonian Pickaxe
2834: T1_2H_TOOL_HAMMER                                                : Beginner's Stone Hammer
2835: T2_2H_TOOL_HAMMER                                                : Novice's Stone Hammer
2836: T3_2H_TOOL_HAMMER                                                : Journeyman's Stone Hammer
2837: T4_2H_TOOL_HAMMER                                                : Adept's Stone Hammer
2838: T5_2H_TOOL_HAMMER                                                : Expert's Stone Hammer
2839: T6_2H_TOOL_HAMMER                                                : Master's Stone Hammer
2840: T7_2H_TOOL_HAMMER                                                : Grandmaster's Stone Hammer
2841: T8_2H_TOOL_HAMMER                                                : Elder's Stone Hammer
2842: T4_2H_TOOL_HAMMER_AVALON                                         : Adept's Avalonian Stone Hammer
2843: T5_2H_TOOL_HAMMER_AVALON                                         : Expert's Avalonian Stone Hammer
2844: T6_2H_TOOL_HAMMER_AVALON                                         : Master's Avalonian Stone Hammer
2845: T7_2H_TOOL_HAMMER_AVALON                                         : Grandmaster's Avalonian Stone Hammer
2846: T8_2H_TOOL_HAMMER_AVALON                                         : Elder's Avalonian Stone Hammer
2847: T1_2H_TOOL_AXE                                                   : Beginner's Axe
2848: T2_2H_TOOL_AXE                                                   : Novice's Axe
2849: T3_2H_TOOL_AXE                                                   : Journeyman's Axe
2850: T4_2H_TOOL_AXE                                                   : Adept's Axe
2851: T5_2H_TOOL_AXE                                                   : Expert's Axe
2852: T6_2H_TOOL_AXE                                                   : Master's Axe
2853: T7_2H_TOOL_AXE                                                   : Grandmaster's Axe
2854: T8_2H_TOOL_AXE                                                   : Elder's Axe
2855: T4_2H_TOOL_AXE_AVALON                                            : Adept's Avalonian Axe
2856: T5_2H_TOOL_AXE_AVALON                                            : Expert's Avalonian Axe
2857: T6_2H_TOOL_AXE_AVALON                                            : Master's Avalonian Axe
2858: T7_2H_TOOL_AXE_AVALON                                            : Grandmaster's Avalonian Axe
2859: T8_2H_TOOL_AXE_AVALON                                            : Elder's Avalonian Axe
2860: T1_2H_TOOL_SICKLE                                                : Beginner's Sickle
2861: T2_2H_TOOL_SICKLE                                                : Novice's Sickle
2862: T3_2H_TOOL_SICKLE                                                : Journeyman's Sickle
2863: T4_2H_TOOL_SICKLE                                                : Adept's Sickle
2864: T5_2H_TOOL_SICKLE                                                : Expert's Sickle
2865: T6_2H_TOOL_SICKLE                                                : Master's Sickle
2866: T7_2H_TOOL_SICKLE                                                : Grandmaster's Sickle
2867: T8_2H_TOOL_SICKLE                                                : Elder's Sickle
2868: T4_2H_TOOL_SICKLE_AVALON                                         : Adept's Avalonian Sickle
2869: T5_2H_TOOL_SICKLE_AVALON                                         : Expert's Avalonian Sickle
2870: T6_2H_TOOL_SICKLE_AVALON                                         : Master's Avalonian Sickle
2871: T7_2H_TOOL_SICKLE_AVALON                                         : Grandmaster's Avalonian Sickle
2872: T8_2H_TOOL_SICKLE_AVALON                                         : Elder's Avalonian Sickle
2873: T1_2H_TOOL_KNIFE                                                 : Beginner's Skinning Knife
2874: T2_2H_TOOL_KNIFE                                                 : Novice's Skinning Knife
2875: T3_2H_TOOL_KNIFE                                                 : Journeyman's Skinning Knife
2876: T4_2H_TOOL_KNIFE                                                 : Adept's Skinning Knife
2877: T5_2H_TOOL_KNIFE                                                 : Expert's Skinning Knife
2878: T6_2H_TOOL_KNIFE                                                 : Master's Skinning Knife
2879: T7_2H_TOOL_KNIFE                                                 : Grandmaster's Skinning Knife
2880: T8_2H_TOOL_KNIFE                                                 : Elder's Skinning Knife
2881: T4_2H_TOOL_KNIFE_AVALON                                          : Adept's Avalonian Skinning Knife
2882: T5_2H_TOOL_KNIFE_AVALON                                          : Expert's Avalonian Skinning Knife
2883: T6_2H_TOOL_KNIFE_AVALON                                          : Master's Avalonian Skinning Knife
2884: T7_2H_TOOL_KNIFE_AVALON                                          : Grandmaster's Avalonian Skinning Knife
2885: T8_2H_TOOL_KNIFE_AVALON                                          : Elder's Avalonian Skinning Knife
2886: T2_2H_TOOL_SIEGEHAMMER                                           : Novice's Siege Hammer
2887: T3_2H_TOOL_SIEGEHAMMER                                           : Journeyman's Siege Hammer
2888: T4_2H_TOOL_SIEGEHAMMER                                           : Adept's Siege Hammer
2889: T5_2H_TOOL_SIEGEHAMMER                                           : Expert's Siege Hammer
2890: T6_2H_TOOL_SIEGEHAMMER                                           : Master's Siege Hammer
2891: T7_2H_TOOL_SIEGEHAMMER                                           : Grandmaster's Siege Hammer
2892: T8_2H_TOOL_SIEGEHAMMER                                           : Elder's Siege Hammer
2893: T4_2H_TOOL_SIEGEHAMMER_AVALON                                    : Adept's Avalonian Siege Hammer
2894: T5_2H_TOOL_SIEGEHAMMER_AVALON                                    : Expert's Avalonian Siege Hammer
2895: T6_2H_TOOL_SIEGEHAMMER_AVALON                                    : Master's Avalonian Siege Hammer
2896: T7_2H_TOOL_SIEGEHAMMER_AVALON                                    : Grandmaster's Avalonian Siege Hammer
2897: T8_2H_TOOL_SIEGEHAMMER_AVALON                                    : Elder's Avalonian Siege Hammer
2898: T3_2H_TOOL_FISHINGROD                                            : Journeyman's Fishing Rod
2899: T4_2H_TOOL_FISHINGROD                                            : Adept's Fishing Rod
2900: T5_2H_TOOL_FISHINGROD                                            : Expert's Fishing Rod
2901: T6_2H_TOOL_FISHINGROD                                            : Master's Fishing Rod
2902: T7_2H_TOOL_FISHINGROD                                            : Grandmaster's Fishing Rod
2903: T8_2H_TOOL_FISHINGROD                                            : Elder's Fishing Rod
2904: T4_2H_TOOL_FISHINGROD_AVALON                                     : Adept's Avalonian Fishing Rod
2905: T5_2H_TOOL_FISHINGROD_AVALON                                     : Expert's Avalonian Fishing Rod
2906: T6_2H_TOOL_FISHINGROD_AVALON                                     : Master's Avalonian Fishing Rod
2907: T7_2H_TOOL_FISHINGROD_AVALON                                     : Grandmaster's Avalonian Fishing Rod
2908: T8_2H_TOOL_FISHINGROD_AVALON                                     : Elder's Avalonian Fishing Rod
2909: UNIQUE_MOUNT_ARMORED_HORSE_KNIGHT_01_TEST                        
2910: T2_MOUNT_MULE                                                    : Novice's Mule
2911: T3_MOUNT_HORSE                                                   : Journeyman's Riding Horse
2912: T4_MOUNT_HORSE                                                   : Adept's Riding Horse
2913: T5_MOUNT_HORSE                                                   : Expert's Riding Horse
2914: T6_MOUNT_HORSE                                                   : Master's Riding Horse
2915: T7_MOUNT_HORSE                                                   : Grandmaster's Riding Horse
2916: T8_MOUNT_HORSE                                                   : Elder's Riding Horse
2917: T5_MOUNT_ARMORED_HORSE                                           : Expert's Armored Horse
2918: T6_MOUNT_ARMORED_HORSE                                           : Master's Armored Horse
2919: T7_MOUNT_ARMORED_HORSE                                           : Grandmaster's Armored Horse
2920: T8_MOUNT_ARMORED_HORSE                                           : Elder's Armored Horse
2921: T3_MOUNT_OX                                                      : Journeyman's Transport Ox
2922: T4_MOUNT_OX                                                      : Adept's Transport Ox
2923: T5_MOUNT_OX                                                      : Expert's Transport Ox
2924: T6_MOUNT_OX                                                      : Master's Transport Ox
2925: T7_MOUNT_OX                                                      : Grandmaster's Transport Ox
2926: T8_MOUNT_OX                                                      : Elder's Transport Ox
2927: T4_MOUNT_GIANTSTAG                                               : Adept's Giant Stag
2928: T6_MOUNT_GIANTSTAG_MOOSE                                         : Moose
2929: T6_MOUNT_DIREWOLF                                                : Direwolf
2930: T7_MOUNT_DIREBOAR                                                : Saddled Direboar
2931: T7_MOUNT_SWAMPDRAGON                                             : Saddled Swamp Dragon
2932: T8_MOUNT_DIREBEAR                                                : Saddled Direbear
2933: T8_MOUNT_MAMMOTH_TRANSPORT                                       : Elder's Transport Mammoth
2934: T5_MOUNT_MOABIRD_FW_BRIDGEWATCH                                  : Saddled Moabird
2935: T5_MOUNT_DIREBEAR_FW_FORTSTERLING                                : Saddled Winter Bear
2936: T5_MOUNT_DIREBOAR_FW_LYMHURST                                    : Saddled Wild Boar
2937: T5_MOUNT_RAM_FW_MARTLOCK                                         : Saddled Bighorn Ram
2938: T5_MOUNT_SWAMPDRAGON_FW_THETFORD                                 : Saddled Swamp Salamander
2939: T5_MOUNT_GREYWOLF_FW_CAERLEON                                    : Saddled Greywolf
2940: T5_MOUNT_OWL_FW_BRECILIEN                                        : Saddled Mystic Owl
2941: T8_MOUNT_MOABIRD_FW_BRIDGEWATCH_ELITE                            : Elite Terrorbird
2942: T8_MOUNT_DIREBEAR_FW_FORTSTERLING_ELITE                          : Elite Winter Bear
2943: T8_MOUNT_DIREBOAR_FW_LYMHURST_ELITE                              : Elite Wild Boar
2944: T8_MOUNT_RAM_FW_MARTLOCK_ELITE                                   : Elite Bighorn Ram
2945: T8_MOUNT_SWAMPDRAGON_FW_THETFORD_ELITE                           : Elite Swamp Salamander
2946: T8_MOUNT_GREYWOLF_FW_CAERLEON_ELITE                              : Elite Greywolf
2947: T8_MOUNT_OWL_FW_BRECILIEN_ELITE                                  : Elite Mystic Owl
2948: T5_MOUNT_SPIDER_HELL                                             : Hellspinner
2949: T8_MOUNT_SPIDER_HELL                                             : Soulspinner
2950: T8_MOUNT_MAMMOTH_BATTLE@1                                        : Elder's Command Mammoth
2951: T7_MOUNT_SWAMPDRAGON_BATTLE                                      : Flame Basilisk
2952: T7_MOUNT_ARMORED_SWAMPDRAGON_BATTLE                              : Venom Basilisk
2953: T6_MOUNT_SIEGE_BALLISTA                                          : Siege Ballista
2954: T8_MOUNT_HORSE_UNDEAD@1                                          : Spectral Bonehorse
2955: T5_MOUNT_COUGAR_KEEPER@1                                         : Swiftclaw
2956: T8_MOUNT_COUGAR_KEEPER@1                                         : Rageclaw
2957: T8_MOUNT_ARMORED_HORSE_MORGANA@1                                 : Morgana Nightmare
2958: T8_MOUNT_RABBIT_EASTER                                           : Spring Cottontail
2959: T8_MOUNT_RABBIT_EASTER_DARK@1                                    : Caerleon Cottontail
2960: UNIQUE_MOUNT_RAM_XMAS                                            : Yule Ram
2961: T7_MOUNT_SWAMPDRAGON_AVALON_BASILISK                             : Avalonian Basilisk
2962: UNIQUE_MOUNT_RAM_TELLAFRIEND                                     : Recruiter's Ram
2963: UNIQUE_MOUNT_MOABIRD_TELLAFRIEND                                 : Recruiter's Moabird
2964: UNIQUE_MOUNT_BAT_TELLAFRIEND                                     : Recruiter's Saddled Bat
2965: UNIQUE_MOUNT_GIANTTOAD_TELLAFRIEND                               : Recruiter's Toad
2966: UNIQUE_MOUNT_PANDA_TELLAFRIEND                                   
2967: UNIQUE_MOUNT_GIANTTOAD_02_TELLAFRIEND                            : Recruiter's Giant Frog
2968: T5_MOUNT_ARMORED_HORSE_SKIN_01                                   : Expert's Warhorse
2969: T6_MOUNT_ARMORED_HORSE_SKIN_01                                   : Master's Warhorse
2970: T7_MOUNT_ARMORED_HORSE_SKIN_01                                   : Grandmaster's Warhorse
2971: T8_MOUNT_ARMORED_HORSE_SKIN_01                                   : Elder's Warhorse
2972: UNIQUE_MOUNT_BAT_PERSONAL                                        : Spectral Bat
2973: T7_MOUNT_MONITORLIZARD_ADC                                       : Pest Lizard
2974: T7_MOUNT_HUSKY_ADC                                               : Snow Husky
2975: T6_MOUNT_FROSTRAM_ADC                                            : Frost Ram
2976: T7_MOUNT_TERRORBIRD_ADC                                          : Saddled Terrorbird
2977: UNIQUE_MOUNT_BEAR_KEEPER_ADC                                     : Grizzly Bear
2978: UNIQUE_MOUNT_BLACK_PANTHER_ADC                                   : Black Panther
2979: UNIQUE_MOUNT_MORGANA_RAVEN_ADC                                   : Morgana Raven
2980: UNIQUE_MOUNT_GIANT_HORSE_ADC                                     : Gallant Horse
2981: UNIQUE_MOUNT_UNDEAD_DIREBOAR_ADC                                 : Spectral Direboar
2982: UNIQUE_MOUNT_DIVINE_OWL_ADC                                      : Divine Owl
2983: UNIQUE_MOUNT_HERETIC_MULE_ADC                                    : Heretic Combat Mule
2984: UNIQUE_MOUNT_RHINO_SEASON_CRYSTAL                                : Crystal Battle Rhino
2985: UNIQUE_MOUNT_RHINO_SEASON_GOLD                                   : Gold Battle Rhino
2986: UNIQUE_MOUNT_RHINO_SEASON_SILVER                                 : Silver Battle Rhino
2987: UNIQUE_MOUNT_RHINO_SEASON_BRONZE                                 : Bronze Battle Rhino
2988: UNIQUE_MOUNT_TOWER_CHARIOT_CRYSTAL                               : Crystal Tower Chariot
2989: UNIQUE_MOUNT_TOWER_CHARIOT_GOLD                                  : Gold Tower Chariot
2990: UNIQUE_MOUNT_TOWER_CHARIOT_SILVER                                : Silver Tower Chariot
2991: UNIQUE_MOUNT_ARMORED_EAGLE_CRYSTAL                               : Crystal Battle Eagle
2992: UNIQUE_MOUNT_ARMORED_EAGLE_GOLD                                  : Gold Battle Eagle
2993: UNIQUE_MOUNT_ARMORED_EAGLE_SILVER                                : Silver Battle Eagle
2994: UNIQUE_MOUNT_BEETLE_CRYSTAL                                      : Crystal Colossus Beetle
2995: UNIQUE_MOUNT_BEETLE_GOLD                                         : Gold Colossus Beetle
2996: UNIQUE_MOUNT_BEETLE_SILVER                                       : Silver Colossus Beetle
2997: UNIQUE_MOUNT_BEHEMOTH_CRYSTAL                                    : Crystal Behemoth
2998: UNIQUE_MOUNT_BEHEMOTH_GOLD                                       : Gold Behemoth
2999: UNIQUE_MOUNT_BEHEMOTH_SILVER                                     : Silver Behemoth
3000: UNIQUE_MOUNT_ENT_CRYSTAL                                         : Crystal Ancient Ent
3001: UNIQUE_MOUNT_ENT_GOLD                                            : Gold Ancient Ent
3002: UNIQUE_MOUNT_ENT_SILVER                                          : Silver Ancient Ent
3003: UNIQUE_MOUNT_BATTLESPIDER_CRYSTAL                                : Crystal Goliath Horseeater
3004: UNIQUE_MOUNT_BATTLESPIDER_GOLD                                   : Gold Goliath Horseeater
3005: UNIQUE_MOUNT_BATTLESPIDER_SILVER                                 : Silver Goliath Horseeater
3006: UNIQUE_MOUNT_BASTION_CRYSTAL                                     : Crystal Roving Bastion
3007: UNIQUE_MOUNT_BASTION_GOLD                                        : Gold Roving Bastion
3008: UNIQUE_MOUNT_BASTION_SILVER                                      : Silver Roving Bastion
3009: UNIQUE_MOUNT_JUGGERNAUT_CRYSTAL                                  : Crystal Juggernaut
3010: UNIQUE_MOUNT_JUGGERNAUT_GOLD                                     : Gold Juggernaut
3011: UNIQUE_MOUNT_JUGGERNAUT_SILVER                                   : Silver Juggernaut
3012: UNIQUE_MOUNT_TANKBEETLE_CRYSTAL                                  : Crystal Phalanx Beetle
3013: UNIQUE_MOUNT_TANKBEETLE_GOLD                                     : Gold Phalanx Beetle
3014: UNIQUE_MOUNT_TANKBEETLE_SILVER                                   : Silver Phalanx Beetle
3015: UNIQUE_MOUNT_RHINO_TELLAFRIEND                                   
3016: UNIQUE_MOUNT_GIANTSTAG_FOUNDER_EPIC                              : Epic Explorer's Giant Stag
3017: T4_FURNITUREITEM_REPAIRKIT                                       : Adept's Repair Kit
3018: T5_FURNITUREITEM_REPAIRKIT                                       : Expert's Repair Kit
3019: T6_FURNITUREITEM_REPAIRKIT                                       : Master's Repair Kit
3020: T7_FURNITUREITEM_REPAIRKIT                                       : Grandmaster's Repair Kit
3021: T8_FURNITUREITEM_REPAIRKIT                                       : Elder's Repair Kit
3022: T2_FURNITUREITEM_GUILDBANNER_FABRIC                              : Guild Banner on Fabric
3023: T3_FURNITUREITEM_GUILDBANNER_FABRIC                              : Guild Banner on Fabric
3024: T4_FURNITUREITEM_GUILDBANNER_FABRIC                              : Guild Banner on Fabric
3025: T5_FURNITUREITEM_GUILDBANNER_FABRIC                              : Guild Banner on Fabric
3026: T2_FURNITUREITEM_GUILDBANNER_SHIELD                              : Guild Banner on Shield
3027: T3_FURNITUREITEM_GUILDBANNER_SHIELD                              : Guild Banner on Shield
3028: T4_FURNITUREITEM_GUILDBANNER_SHIELD                              : Guild Banner on Shield
3029: T5_FURNITUREITEM_GUILDBANNER_SHIELD                              : Guild Banner on Shield
3030: T3_FURNITUREITEM_ANNIVERSARYBANNER                               : Anniversary Banner - White
3031: T3_FURNITUREITEM_ANNIVERSARYBANNER_2020                          : Anniversary Banner - Red
3032: T3_FURNITUREITEM_ANNIVERSARYBANNER_2021                          : Anniversary Banner - Blue
3033: T3_FURNITUREITEM_ANNIVERSARYBANNER_2022                          : Anniversary Banner - Turquoise
3034: T3_FURNITUREITEM_ANNIVERSARYBANNER_2023                          : Anniversary Banner - Orange
3035: T3_FURNITUREITEM_ANNIVERSARYBANNER_2024                          : Anniversary Banner - Purple
3036: T3_FURNITUREITEM_ANNIVERSARYBANNER_2025                          : Anniversary Banner - Light Blue
3037: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_A@1                       : Recruiter's Crate
3038: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_B@1                       : Recruiter's Chest
3039: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_C@1                       : Recruiter's Wooden Chest
3040: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_COMPANION@1               : Recruiter's Companion Crate
3041: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_BARREL@1                  : Recruiter's Barrel-crate
3042: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_MERLINCUBE@1              : Recruiter's Merlyn Cube
3043: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_SARCOPHAGUS               : Recruiter's Sarcophagus Chest
3044: UNIQUE_FURNITUREITEM_TELLAFRIEND_DEER_STATUE                     : Recruiter's Deer Statue
3045: UNIQUE_FURNITUREITEM_TELLAFRIEND_HUNTER_STATUE                   : Recruiter's Hunter Statue
3046: UNIQUE_FURNITUREITEM_TELLAFRIEND_CHEST_BARREL_B@1                : Recruiter's Storage-Barrel
3047: UNIQUE_FURNITUREITEM_TELLAFRIEND_BANNER_A                        : Recruiter's Guild Banner
3048: T2_FURNITUREITEM_BED                                             : Novice's Bed
3049: T3_FURNITUREITEM_BED                                             : Journeyman's Bed
3050: T4_FURNITUREITEM_BED                                             : Adept's Bed
3051: T5_FURNITUREITEM_BED                                             : Expert's Bed
3052: T6_FURNITUREITEM_BED                                             : Master's Bed
3053: T7_FURNITUREITEM_BED                                             : Grandmaster's Bed
3054: T8_FURNITUREITEM_BED                                             : Elder's Bed
3055: T2_FURNITUREITEM_CHEST                                           : Novice's Chest
3056: T3_FURNITUREITEM_CHEST                                           : Journeyman's Chest
3057: T4_FURNITUREITEM_CHEST                                           : Adept's Chest
3058: T5_FURNITUREITEM_CHEST                                           : Expert's Chest
3059: T3_VANITY_CONSUMABLE_FIREWORKS_BLUE                              : Royal Blue Fireworks
3060: T3_VANITY_CONSUMABLE_FIREWORKS_GREEN                             : Royal Green Fireworks
3061: T3_VANITY_CONSUMABLE_FIREWORKS_YELLOW                            : Royal Yellow Fireworks
3062: T3_VANITY_CONSUMABLE_FIREWORKS_RED                               : Royal Red Fireworks
3063: T3_VANITY_CONSUMABLE_FIREWORKS_BLUE_NONTRADABLE                  : Royal Blue Fireworks
3064: T3_VANITY_CONSUMABLE_FIREWORKS_GREEN_NONTRADABLE                 : Royal Green Fireworks
3065: T3_VANITY_CONSUMABLE_FIREWORKS_YELLOW_NONTRADABLE                : Royal Yellow Fireworks
3066: T3_VANITY_CONSUMABLE_FIREWORKS_RED_NONTRADABLE                   : Royal Red Fireworks
3067: UNIQUE_CONSUMABLE_EVENT_WINTER_2017                              : Snowball
3068: UNIQUE_CONSUMABLE_EVENT_EASTER_2020_EGG                          : Surprise Egg
3069: UNIQUE_CONSUMABLE_EVENT_EASTER_2020_CHOCOLATE                    : Chocolate
3070: UNIQUE_CONSUMABLE_EVENT_EASTER_CHOCOLATE_EGG_2025                : Chocolate Egg
3071: UNIQUE_ROTTEN_CHOCOLATE_EGG                                      : Rotten Chocolate Egg
3072: T2_FURNITUREITEM_TABLE                                           : Novice's Table
3073: T3_FURNITUREITEM_TABLE                                           : Journeyman's Table
3074: T4_FURNITUREITEM_TABLE                                           : Adept's Table
3075: T5_FURNITUREITEM_TABLE                                           : Expert's Table
3076: T6_FURNITUREITEM_TABLE                                           : Master's Table
3077: T7_FURNITUREITEM_TABLE                                           : Grandmaster's Table
3078: T8_FURNITUREITEM_TABLE                                           : Elder's Table
3079: UNIQUE_FURNITUREITEM_EASTER_CHEST                                : Egg-shaped Chest
3080: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_04                      : Modest Arena Display
3081: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_05                      : Grand Arena Display
3082: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_06                      : Glorious Arena Display
3083: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_01                      : Modest Arena Display
3084: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_02                      : Grand Arena Display
3085: UNIQUE_FURNITUREITEM_VANITY_ARENA_BANNER_03                      : Glorious Arena Display
3086: PLAYERISLAND_FURNITUREITEM_FARM_DECO_B                           : Haystack
3087: PLAYERISLAND_FURNITUREITEM_FARM_DECO_C                           : Haystack and cart
3088: PLAYERISLAND_FURNITUREITEM_FARM_DECO_D                           : Tree stump with pumpkins
3089: PLAYERISLAND_FURNITUREITEM_STONE_FIREBOWL_A                      : Fire bowl
3090: PLAYERISLAND_FURNITUREITEM_STONE_FIREBOWL_B                      : Fire bowl with pedestal
3091: PLAYERISLAND_FURNITUREITEM_STONE_MAGIC_EMBLEM_GROUND_A           : Small arcane stone sigil
3092: PLAYERISLAND_FURNITUREITEM_STONE_MAGIC_EMBLEM_GROUND_B           : Arcane stone sigil
3093: PLAYERISLAND_FURNITUREITEM_STONE_NATURE_EMBLEM_GROUND_A          : Small nature stone sigil
3094: PLAYERISLAND_FURNITUREITEM_STONE_NATURE_EMBLEM_GROUND_B          : Nature stone sigil
